val_loss,train_loss
20189.5,
5778.83447265625,5842.69775390625
5444.2783203125,5343.7431640625
5318.76220703125,5395.70947265625
5218.50927734375,5179.18017578125
5149.6435546875,5247.064453125
5100.57177734375,4789.43505859375
5073.72119140625,4921.271484375
5043.837890625,4985.84814453125
5034.751953125,4935.58447265625
4980.3525390625,5374.095703125
4964.2041015625,4894.62841796875
4957.77490234375,5036.7802734375
4924.8125,4863.93896484375
4900.62109375,4897.4375
4916.70849609375,4888.86328125
4897.328125,4405.80078125
4905.65185546875,4836.3837890625
4865.0390625,4873.2880859375
4868.5185546875,4893.8916015625
4856.3125,4680.50390625
4854.8447265625,4513.00537109375
4866.326171875,4786.30908203125
4839.60888671875,4692.52685546875
4861.75048828125,4779.705078125
4840.71728515625,4764.97802734375
4841.349609375,4651.88818359375
4822.90087890625,4632.69970703125
4828.828125,4862.42626953125
4821.138671875,5008.748046875
4801.8466796875,4665.6611328125
4818.3837890625,4812.251953125
4803.24951171875,5043.56103515625
4802.279296875,4843.826171875
4818.423828125,4746.89599609375
4807.0947265625,4482.802734375
4808.93408203125,4737.01806640625
4794.07666015625,4601.73681640625
4800.1728515625,4938.19140625
4779.1337890625,4947.806640625
4799.40087890625,4624.0595703125
4804.43310546875,4591.2451171875
4774.22900390625,4601.6650390625
4794.23681640625,4626.51953125
4806.27734375,4811.7197265625
4782.298828125,4895.74267578125
4790.91064453125,4814.396484375
4768.1005859375,5047.8642578125
4780.0439453125,4680.4970703125
4749.10791015625,4729.8193359375
4831.806640625,4739.8017578125
4813.71240234375,4646.7099609375
4765.32666015625,4580.5380859375
4746.87255859375,4746.48291015625
4763.7841796875,4771.5009765625
4773.28271484375,4891.01708984375
4784.20703125,4438.3095703125
4778.3173828125,4742.13525390625
4767.5078125,4683.6484375
4770.06982421875,4717.8505859375
4747.447265625,4622.703125
4748.33642578125,4663.54736328125
4763.56591796875,4794.1787109375
4747.66015625,4829.12744140625
